BNF_CODE,BNF_DESCRIPTION,CHEMICAL_SUBSTANCE_BNF_DESCR
0106040M0BLAAAA,Strigol oral powder 13.72g sachets plain,Macrogol 3350
0409010N0AAARAR,Levodopa 20mg/ml/Carbidopa monohydrate 5mg/ml intestinal gel,Co-careldopa (Carbidopa/levodopa)
0601022B0BUAAAT,Rudimet 750mg prolonged-release tablets,Metformin hydrochloride
0606010U0AAACAC,Teriparatide 20microg/80microL dose inj 2.4ml pf dispos dev,Teriparatide
0606010U0AAAEAE,Teriparatide 20micrograms/80microlitres dose inj 2.4ml cart,Teriparatide
0606010U0BDABAE,Movymia 20micrograms/80microlitres dose inj 2.4ml cartridge,Teriparatide
0913461C0BHADAQ,Orgran gluten free pizza & pastry mix,Specialist food replacer OTC/disc flour type mixes (0913461)
0913461J0BCABAB,Juvela gluten free tea biscuits,Specialist food replacer OTC/disc sweet biscuits (0913461)
0914033A0BBAAAA,Nutrison PlantBased Soya liquid,Tube feed 1 kcal/ml soya based (0914033)
0914033B0BCAAAB,Nutrison PlantBased Soya Multi Fibre liquid,Tube feed 1 kcal/ml soya based with fibre (0914033)
1104020AEAAAAAA,Ciclosporin 1mg/ml eye drops 0.3ml unit dose,Ciclosporin (Eye Anti Inflammatory)
1104020AEBBAAAA,Ikervis 1mg/ml eye drops emulsion 0.3ml unit dose,Ciclosporin (Eye Anti Inflammatory)
1104020AEBCAAAA,Verkazia 1mg/ml eye drops emulsion 0.3ml unit dose,Ciclosporin (Eye Anti Inflammatory)
1201010B0AAAGAG,Acetic acid (glacial) 5% ear spray,Acetic acid
1404000L0BGAAAF,Prevenar 20 vacc inj 0.5ml pre-filled syringes,Pneumococcal
20031200050,Cutimed Sorbact Hydro dressing 7.5cm x 7.5cm square,Wound Management & Other Dressings
20031200051,Cutimed Sorbact Hydro dressing 7.5cm x 15cm rectangular,Wound Management & Other Dressings
20040200640,Cutimed Sorbact Pad dressing 7cm x 9cm,Gauzes & Gauze Tissue
20040200641,Cutimed Sorbact Pad dressing 10cm x 10cm,Gauzes & Gauze Tissue
20040200642,Cutimed Sorbact Pad dressing 10cm x 20cm,Gauzes & Gauze Tissue
20040200643,Cutimed Sorbact Contact swab 4cm x 6cm,Gauzes & Gauze Tissue
20040200644,Cutimed Sorbact Contact swab 7cm x 9cm,Gauzes & Gauze Tissue
21011300315,Bloccs Waterproof Cast & Dressing Cover limb protector adult elbow/PICC small,Other Appliances
21011300316,Bloccs Waterproof Cast & Dressing Cover limb protector adult elbow/PICC medium,Other Appliances
21011300323,Bloccs Waterproof Cast & Dressing Cover limb protector child large arm,Other Appliances
21011300325,Bloccs Waterproof Cast & Dressing Cover limb protector child extra small leg,Other Appliances
21011300329,Bloccs Waterproof Cast & Dressing Cover limb protector child large leg,Other Appliances
21380000100,Parafricta bootee adjustable,Low Friction Products
21380000102,Parafricta brief front opening,Low Friction Products
21380000103,Parafricta brief slip on,Low Friction Products
