BNF_CODE,BNF_DESCRIPTION,CHEMICAL_SUBSTANCE_BNF_DESCR
0106020V0BCABAB,Senokot 7.5mg/5ml Syrup 12 Years Plus (Reckitt),Sennosides
0106020V0BDAAAA,Senease Eighteen Years Plus 7.5mg tablets,Sennosides
0106020V0BDABAA,Senease Twelve Years Plus 7.5mg tablets,Sennosides
0106020V0AAABAB,Sennosides 7.5mg/5ml oral solution sugar free,Sennosides
0106020V0BCAAAB,Senokot 7.5mg/5ml Syrup 12 Years Plus (Forum),Sennosides
0206020C0CBAAAA,Zeyam 60mg modified-release tablets,Diltiazem hydrochloride
0302000Z0BBAAAA,Trelegy Ellipta 92microg/55microg/22microg/dose dry pdr inh,Fluticasone/umeclidinium/vilanterol
0302000Z0AAAAAA,Generic Trelegy Ellipta 92microg/55microg/22microg/dose inh,Fluticasone/umeclidinium/vilanterol
0402010K0AAAWAW,Levomepromazine 6.25mg tablets,Levomepromazine maleate
0402020AAAAADAD,Risperidone 75mg prolonged-release inj pre-filled syringes,Risperidone
0404000M0BNADAW,Meflynate XL 40mg capsules,Methylphenidate hydrochloride
0404000M0BNACAV,Meflynate XL 30mg capsules,Methylphenidate hydrochloride
0404000L0AABABA,Dexamfetamine 10mg modified-release capsules,Dexamfetamine sulfate
040702040BEAFAE,Dromadol XL 200mg tablets,Tramadol hydrochloride
0407042R0BBAAAA,Ajovy 225mg/1.5ml solution for injection pre-filled syringes,Fremanezumab
0408010A0AAAVAV,Levetiracetam 250mg gran for soln sachets sugar free,Levetiracetam
0408010A0AAAUAU,Levetiracetam 1g gran for soln sachets sugar free,Levetiracetam
0503010AWAAABAB,Cabotegravir 600mg/3ml prolonged-release inj vials,Cabotegravir
0601022B0BTACAS,Jesacrin 500mg modified-release tablets,Metformin hydrochloride
0603020T0AAAEAE,Prednisolone 50mg tablets,Prednisolone
0603020J0AADLDL,Hydrocortisone 10mg/5ml oral solution sugar free,Hydrocortisone
0603020J0AADKDK,Hydrocortisone 5mg/5ml oral solution sugar free,Hydrocortisone
0604020K0BQABBU,Testavan 20mg/g transdermal gel refill,Testosterone
0605010I0AAAKAK,Follitropin alfa 75units/0.125ml inj pf dispos dev,Follitropin alfa
0703021R0BBAAAA,Slynd 4mg tablets,Drospirenone
0703021R0AAAAAA,Drospirenone 4mg tablets,Drospirenone
0901060P0AAABAB,Pegfilgrastim 6mg/0.6ml inj pre-filled disposable devices,Pegfilgrastim
