BNF_CODE,BNF_DESCRIPTION,CHEMICAL_SUBSTANCE_BNF_DESCR
0106020V0BCAAAB,Senokot 7.5mg/5ml Syrup 12 Years Plus (Forum),Sennosides
0106020V0BCABAB,Senokot 7.5mg/5ml Syrup 12 Years Plus (Reckitt),Sennosides
0106020V0BDAAAA,Senease Eighteen Years Plus 7.5mg tablets,Sennosides
0106020V0BDABAA,Senease Twelve Years Plus 7.5mg tablets,Sennosides
0302000Z0BBAAAA,Trelegy Ellipta 92microg/55microg/22microg/dose dry pdr inh,Fluticasone/umeclidinium/vilanterol
0403030Q0AABCBC,Sertraline 100mg/5ml concentrate for oral soln sugar free,Sertraline hydrochloride
0501070AEBDAAAD,Alexi 3g granules for oral solution sachets,Fosfomycin trometamol
0702020F0BBAQAK,Canesten Combi 500mg Soft Gel pessary and External 2% cream,Clotrimazole
0702020F0BBARAF,Canesten Thrush 500mg Soft Gel pessaries,Clotrimazole
0704030J0BGAAAI,Cystocalm 4g granules for oral solution sachets,Sodium citrate
0704030J0BPAAAI,CanesOasis Cystitis Relief 4g gran for soln sachets,Sodium citrate
0905011D0AAAPAP,Calcium carbonate 250mg dispersible tablets sugar free,Calcium carbonate
0905011D0BKABAK,SunVit-Pro Calcium carbonate 1.5g chewable tablets,Calcium carbonate
0913021H0BCAAAB,Altrini Compact Fibre liquid (4 flavours),RtS 2.4 kcal/ml milkshake lower volume with fibre (0913021)
0913282A0BCAAAB,Paravit-CF liquid,Liquid micronutrient supplement (0913282)
0913282B0BCAAAD,Paravit-CF capsules,Tablets/capsules micronutrient supplement (0913282)
0913311D0BCAAAB,Fortisip Range Starter Pack liquid,Ready to serve 1.5 kcal/ml milkshake (0913311)
0913311H0BBAAAA,Ensure Plus yoghurt style liquid,Ready to serve 1.5 kcal/ml yoghurt style drink (0913311)
0913311I0BBAAAA,Ensure Plus Creme (3 flavours),RtS 1.4 - 2 kcal/ml dessert style (milk based) (0913311)
0913411B0BDAAAC,Nutilis powder,Powder disc or non ACBS thickener - starch based (0913411)
0913411B0BEAAAD,Resource ThickenUp powder,Powder disc or non ACBS thickener - starch based (0913411)
0913411B0BEABAD,Resource ThickenUp powder 4.5g sachets,Powder disc or non ACBS thickener - starch based (0913411)
0913411B0BFAAAE,Multi-thick powder,Powder disc or non ACBS thickener - starch based (0913411)
0913444A0BCAAAB,Low Fat Module powder,Powder disc or non ACBS infant formula (0913444)
0913451A0BBAAAA,Mevalia low protein magdalenas,Food replacer discontinued or OTC cakes (0913451)
0913451G0BCAAAC,Mevalia low protein mini baguette,Food replacer discontinued or OTC rolls/baguettes (0913451)
0913451I0BCAAAB,Mevalia low protein egg replacer,Food replacer discontinued or OTC egg replacer (0913451)
0913451K0BBAAAA,Juvela low protein pizza base,Food replacer discontinued or OTC pizza bases (0913451)
0913461C0BIAABC,Proceli gluten free basic mix,Specialist food replacer OTC/disc flour type mixes (0913461)
0913521A0BBADAB,Optifast shake oral powder 55g sachets chocolate,Powder OTC milkshake meal replacer (0913521)
0913572A0BBAAAA,TYR Maxamum powder,Pdr disc/non ACBS Protein SfI metabolic cond (inf) (091357)
0913631B0BBAAAA,Forticare liquid cappuccino,Ready to serve 1.6 kcal/ml milkshake lower volume (0913631)
0913671B0BBAAAA,SLO Milkshake+ IDDSI 3 Moderately Thick pdr 50g sach banana,Powder 1.7 kcal/ml milkshake pre-thickened (0913671)
0913671B0BBABAA,SLO Milkshake+ IDDSI 3 Moderately Thick pdr 50g sach choc,Powder 1.7 kcal/ml milkshake pre-thickened (0913671)
0913671B0BBACAA,SLO Milkshake+ IDDSI 3 Moderately Thick pdr 50g sach s/berry,Powder 1.7 kcal/ml milkshake pre-thickened (0913671)
0913671B0BBADAB,SLO Milkshake+ IDDSI 2 Mildly Thick pdr 50g sach banana,Powder 1.7 kcal/ml milkshake pre-thickened (0913671)
0913671B0BBAEAB,SLO Milkshake+ IDDSI 2 Mildly Thick pdr 50g sach choc,Powder 1.7 kcal/ml milkshake pre-thickened (0913671)
0913671B0BBAFAB,SLO Milkshake+ IDDSI 2 Mildly Thick pdr 50g sach s/berry,Powder 1.7 kcal/ml milkshake pre-thickened (0913671)
0913671C0BBAAAA,SLO Milkshake+ IDDSI 1 Slightly Thick pdr 50g sach banana,Powder 1.3 kcal/ml milkshake pre-thickened (0913671)
0913671C0BBABAA,SLO Milkshake+ IDDSI 1 Slightly Thick pdr 50g sach choc,Powder 1.3 kcal/ml milkshake pre-thickened (0913671)
0913671C0BBACAA,SLO Milkshake+ IDDSI 1 Slightly Thick pdr 50g sach s/berry,Powder 1.3 kcal/ml milkshake pre-thickened (0913671)
0914061A0BBAAAA,Osmolite HP liquid,Tube feed non ACBS 1kcal/ml higher protein (0914061)
130201000BBLSA0,Balmonds Intensive Hand cream,Other emollient preparations
1502010J0BBBKCQ,"Xylocaine 2% with Adrenaline 1 in 80,000 Dental inj 2.2ml",Lidocaine hydrochloride
20050200115,Sofshield laryngectomy protector small beige,Tracheostomy & Laryngectomy Appliances
20050200116,Sofshield laryngectomy protector large beige,Tracheostomy & Laryngectomy Appliances
20050200119,Sofshield laryngectomy protector medium blue,Tracheostomy & Laryngectomy Appliances
20050200122,Sofshield laryngectomy protector large black,Tracheostomy & Laryngectomy Appliances
21220000133,Emulsifying ointment (Ennogen Healthcare Ltd),Emollients
21410000112,Debrisoft Lolly 1.9cm x 16cm,Debridement Device
